"stagadenn","lec_hanv","kumun","insee","rummad","dibab",,,
,"Allineuc","Alineg",22001,"Kumun","Alineg",,,
,"Bosméléac","Alineg",22001,"Kêriadenn","Bosveleag",,,
"Lac de","Bosméléac","Alineg",22001,"Dour","Lenn Bosveleag",,,
"Maison de barragiste de","Bosméléac","Alineg",22001,"Monumant","Ti-stankellour Bosveleag",,,
,"Andel","Andel",22002,"Kumun","Andel",,,
,"Aucaleuc","Oskaleg",22003,"Kumun","Oskaleg",,,
,"Bel Air","Oskaleg",22003,"Kêriadenn","Bel Air",,,
,"Lannéven","Bear",22004,"Kêriadenn","Lanneven",,,
,"Bégard","Bear",22004,"Kumun","Bear",,,
"L'","Enseigne","Bear",22004,"Kêriadenn","An Añsegn",,,
,"Guénézan","Bear",22004,"Kêriadenn","Gwenezhan",,,
,"Trézelan","Bear",22004,"Kêriadenn","Trezelan",,,
,"Kerpabu","Bear",22004,"Kêriadenn","Kerbabu",,,
,"Baloré","Bear",22004,"Diseurt","Balore",,,
,"Botlézan","Bear",22004,"Kêriadenn","Bodlezan",,,
"Hôpital du","Bon Sauveur","Bear",22004,"Monumant","Ospital ar Gwir Salver",,,
"Rue","Jacques Cartier","Bear",22004,"Hent","Straed Jakez Karter",,,
"Aire","René Cassin","Bear",22004,"Hent","Leur René Cassin",,,
"Rue des","Bonnets Rouges","Bear",22004,"Hent","Straed ar Bonedoù Ruz",,,
"Rue du","Combat des Trente","Bear",22004,"Hent","Straed Emgann an Tregont",,,
"Rue","Arthur de la Borderie","Bear",22004,"Hent","Straed Arthur de la Borderie",,,
"Impasse","Jules Gros","Bear",22004,"Hent","Hent-dall Jul ar Groz",,,
"Place du","Lavoir","Bear",22004,"Hent","Plasenn ar Stank",,,
"Lavoir et Fontaine de","Porzh an Ifern","Bear",22004,"Monumant","Stank ha Feunteun Porzh an Ifern",,,
"Résidence de","Gwerun","Bear",22004,"Hent","Annez Gwerun",,,
"Espace","Le Brizaut","Bear",22004,"Monumant","Tachenn ar Brizod",,,
"Place de la","République","Bear",22004,"Hent","Plasenn ar Republik",,,
"Rue de","Pontrieux","Bear",22004,"Hent","Straed Pontrev",,,
"Résidence","an Ti-Skol","Bear",22004,"Hent","Annez an Ti-skol",,,
"Impasse","Thermidor","Bear",22004,"Hent","Hent-dall Thermidor",,,
"Impasse","Saint Yves","Bear",22004,"Hent","Hent-dall Sant Erwan",,,
"Avenue","Pierre Perron","Bear",22004,"Hent","Bali Pierre Perron",,,
"Collège","François Clec'h","Bear",22004,"Monumant","Skolaj François Klec'h",,,
"Impasse de la","Garenne","Bear",22004,"Hent","Hent-dall ar Waremm",,,
"Allée des","Claires-voies","Bear",22004,"Hent","Alez ar Bolejoù",,,
"Rue","Jules Simon","Bear",22004,"Hent","Straed Jules Simon",,,
"Rue","Emile Depasse","Bear",22004,"Hent","Straed Emile Depasse",,,
,"Chemin du Verger","Bear",22004,"Hent","Hentig ar Verjez",,,
"Le","Rest","Bear",22004,"Kêriadenn","Ar Rest",,,
,"Kerambail","Bear",22004,"Kêriadenn","Kêr ar Bailh",,,
,"Kérivoalan","Bear",22004,"Kêriadenn","Kêr Riwalan",,,
"Le","Réchou","Bear",22004,"Kêriadenn","Ar Rechoù",,,
,"Pen ar C'hra","Bear",22004,"Kêriadenn","Penn ar C'hra",,,
,"Kervenou Izellan","Bear",22004,"Kêriadenn","Kerwennoù Izelañ",,,
,"Kervenou Huellan","Bear",22004,"Kêriadenn","Kerwennoù Uhelañ",,,
,"Poull ar Vran","Bear",22004,"Kêriadenn","Poull ar Vran",,,
,"Hent Krapuled","Bear",22004,"Hent","Hent Krapuled",,,
"Place du","Centre","Bear",22004,"Hent","Plasenn Greiz",,,
,"Belle-Isle-en-Terre","Benac'h",22005,"Kumun","Benac'h",,,
"Forêt de","Coat an Noz","Benac'h",22005,"Koad","Koad an Noz",,,
,"Locmaria","Benac'h",22005,"Kêriadenn","Lokmaria",,,
,"Cra Douar","Benac'h",22005,"Karter","Ar C'hra Douar",,,
"Eglise","Saint Jacques le Majeur","Benac'h",22005,"Monumant","Iliz sant Jakez ar Braz",,,
"Chapelle","Notre-Dame de Pendréo","Benac'h",22005,"Monumant","Chapel Itron-Varia Bendreo",,,
"Circuit des","Grenouilles","Benac'h",22005,"Hent","Troiad ar Gleskered",,,
,"Lesléau","Benac'h",22005,"Kêriadenn","Lesleo",,,
,"Coat Malouarn Bihan","Benac'h",22005,"Kêriadenn","Koad Malouarn Bihan",,,
,"Coat-Malouarn","Benac'h",22005,"Kêriadenn","Koad Malouarn",,,
"Vallée des","Papeteries","Benac'h",22005,"Takad","Traouienn ar Milinoù-paper",,,
,"Loguellou","Benac'h",22005,"Kêriadenn","Logelloù",,,
,"Berhet","Berc'hed (22)",22006,"Kumun","Berc'hed",,,
,"Confort","Berc'hed (22)",22006,"Kêriadenn","Koñfort",,,
"Église Notre-Dame de","Confort","Berc'hed (22)",22006,"Monumant","Iliz Itron Varia Konfort",,,
,"Castel Névez","Berc'hed (22)",22006,"Kêriadenn","Ar C'hastell Nevez",,,
,"Binic","Binig",22007,"Kumun","Binig",,,
"Pointe de la","Rognouze","Binig",22007,"Beg","Beg ar Rognouz",,,
"L'","Orme","Binig",22007,"Kêriadenn","An Oulm",,,
,"Bobital","Bowidel",22008,"Kumun","Bowidel",,,
"Le","Bodéo","Bodeoù",22009,"Kumun","Bodeoù",,,
,"Boqueho","Boskazoù",22011,"Kumun","Boskazoù",,,
"La","Bouillie","Ar Vezvid",22012,"Kumun","Ar Vezvid",,,
,"Saint-Laurent","Ar Vezvid",22012,"Kêriadenn","Sant Laorañs",,,
"Vallée des","Forges","Boulvriag",22013,"Diseurt","Traou ar Forjoù",,,
"Les","Forges","Boulvriag",22013,"Kêriadenn","Ar Forjoù",,,
,"Bourbriac","Boulvriag",22013,"Kumun","Boulvriag",,,
,"Coat Forn","Boulvriag",22013,"Kêriadenn","Koad Forn",,,
"Bois de","Coat Liou","Boulvriag",22013,"Koad","Koad Lioù",,,
,"Logoray","Boulvriag",22013,"Kêriadenn","Logorê",,,
"Chapelle de","Bodfo","Boulvriag",22013,"Monumant","Chapel Bodfô",,,
,"Pempinot","Boulvriag",22013,"Monumant","Pempinod",,,
"Chapelle du","Danouet","Boulvriag",22013,"Monumant","Chapel an Dannoed",,,
,"Penity","Boulvriag",22013,"Diseurt","Peniti",,,
"Dolmen de","Kerivoa","Boulvriag",22013,"Monumant","Taol-vaen Kerivoa",,,
"Menhir de","Menez Crech Arhant","Boulvriag",22013,"Monumant","Maen-hir Menez Krec'h Arc'hant",,,
"Plan d'Eau des","Forges","Boulvriag",22013,"Dour","Stank ar Forjoù",,,
"Rue du","Télégraphe","Boulvriag",22013,"Hent","Straed ar Pellskriver",,,
,"Pont Jilez","Boulvriag",22013,"Hent","Pont Jilez",,,
,"Roudoué","Boulvriag",22013,"Kêriadenn","Roudoue",,,
"Ecole","Saint Briac","Boulvriag",22013,"Monumant","Skol Sant Briag",,,
,"Koz Kastel","Boulvriag",22013,"Kêriadenn","Kozh Kastell",,,
"Rue de","Koz Kastel","Boulvriag",22013,"Hent","Straed Kozh Kastell",,,
,"Coat Forn Huellan","Boulvriag",22013,"Kêriadenn","Koad Forn Uhelañ",,,
,"Coat an Ty","Boulvriag",22013,"Kêriadenn","Koad an Ti",,,
,"Coat Charles","Boulvriag",22013,"Kêriadenn","Koad Charlez",,,
,"Coat Huellan","Boulvriag",22013,"Kêriadenn","Koad Uhelañ",,,
,"Coat Izelan","Boulvriag",22013,"Kêriadenn","Koad Izelañ",,,
,"Coat Kermoal","Boulvriag",22013,"Kêriadenn","Koad Kermoal",,,
,"Cosquer Philippe","Boulvriag",22013,"Kêriadenn","Kozhkêr Fulup",,,
,"Crech Vian","Boulvriag",22013,"Kêriadenn","Krec'h Vihan",,,
,"Garenne","Boulvriag",22013,"Kêriadenn","Ar Waremm",,,
,"Gwas ar Mogn","Boulvriag",22013,"Hent","Gwazh ar Mogn",,,
,"Kerauffredou","Boulvriag",22013,"Kêriadenn","Keraofredoù",,,
,"Kerborgne","Boulvriag",22013,"Kêriadenn","Kerborn",,,
,"Kercadiou","Boulvriag",22013,"Kêriadenn","Kergadioù",,,
,"Kerdavidou","Boulvriag",22013,"Kêriadenn","Kerdavidoù",,,
,"Guerguiniou","Boulvriag",22013,"Kêriadenn","Gwerginioù",,,
,"Kergroas","Boulvriag",22013,"Kêriadenn","Kergroaz",,,
,"Kerhalvez","Boulvriag",22013,"Kêriadenn","Kerc'halvez",,,
"Route de","Kerien","Boulvriag",22013,"Hent","Hent Kerien",,,
,"Kerjoly","Boulvriag",22013,"Kêriadenn","Kerjoli",,,
,"Kerlan","Boulvriag",22013,"Kêriadenn","Kerlann",,,
,"Kerlosquer","Boulvriag",22013,"Kêriadenn","Kerlosker",,,
,"Kermoal","Boulvriag",22013,"Kêriadenn","Kermoal",,,
,"Kerphilippe","Boulvriag",22013,"Kêriadenn","Kerfulup",,,
,"Keruel","Boulvriag",22013,"Kêriadenn","Keruhel",,,
,"Langoat Dour","Boulvriag",22013,"Kêriadenn","Langoad an Dour",,,
