"stagadenn","lec_hanv","kumun","insee","rummad","dibab","deiziad_degemer","niv"
"Petit","Paris","Landeda",29101,"Kêriadenn","Petit Paris",29/04/2019,151977
,"Kroaz an Aod","Landeda",29101,"Diseurt","Kroaz an Aod",29/04/2019,152073
"La Ferme de","Messouflin","Plonger",29201,"Monumant","Tiegezh Mesoufleñ",29/04/2019,152086
"Parc public des","Sables Blancs","Konk-Kerne",29039,"Monumant","Park foran an Aod Wenn",29/04/2019,152079
,"Keraudiern","Pleiben",29162,"Kêriadenn","Keraodiern",26/04/2019,2790
,"Manoir de l'éternité","Pleiben",29162,"Maez","Maner an Eternite",26/04/2019,151717
"Bois du","Marros","Pleiben",29162,"Koad","Koad ar Marroz",26/04/2019,151737
,"Meilh Hoat","Pleiben",29162,"Kêriadenn","Meilh ar C'hoad",26/04/2019,2890
,"Park ar Justisou","Pleiben",29162,"Maez","Park ar Justisoù",26/04/2019,151716
,"Petite Place","Pleiben",29162,"Hent","Plasenn Vihan",26/04/2019,151762
,"Roux Guenily","Pleiben",29162,"Kêriadenn","Roz Gwenili",26/04/2019,2959
,"Suliau","Pleiben",29162,"Kêriadenn","Ar Sulio",26/04/2019,2976
,"Yeun Grag","Pleiben",29162,"Kêriadenn","Yeun Grak",26/04/2019,13933
,"Goasven","Pleiben",29162,"Kêriadenn","Gwazhwenn",26/04/2019,2768
,"Rubuscuff","Pleiben",29162,"Kêriadenn","Rubuskuf",26/04/2019,2706
"Le","Gors","Pleiben",29162,"Kêriadenn","Ar Gorzh",26/04/2019,2770
,"Kerseurch","Pleiben",29162,"Kêriadenn","Kerseuc'h",26/04/2019,2861
,"Pennavern Saint-Suliau","Pleiben",29162,"Kêriadenn","Pennvern Sant-Sulio",26/04/2019,2936
,"Naougat","Pleiben",29162,"Kêriadenn","An Naougoad",25/04/2019,2917
,"Quillégou","Pleiben",29162,"Kêriadenn","Killiegoù",25/04/2019,2950
,"Ty Birien","Pleiben",29162,"Kêriadenn","Ti Virien",25/04/2019,2990
,"Tysale","Pleiben",29162,"Kêriadenn","Ti Sal",25/04/2019,1950
"Pont","Keryau","Pleiben",29162,"Kêriadenn","Pont Keryo",25/04/2019,7167
,"Keryau","Pleiben",29162,"Kêriadenn","Keryo",25/04/2019,2858
"Le","Verdier","Pleiben",29162,"Kêriadenn","Le Verdier",25/04/2019,1953
,"Saint-Algon","Pleiben",29162,"Kêriadenn","Sant-Algon",25/04/2019,13985
,"Kergroas","Pleiben",29162,"Kêriadenn","Kergroaz",25/04/2019,2813
,"Kerhanil","Pleiben",29162,"Kêriadenn","Kerc'hanil",25/04/2019,151664
,"Kerhanil Vian","Pleiben",29162,"Kêriadenn","Kerc'hanil Vihan",25/04/2019,2816
