"stagadenn","lec_hanv","kumun","insee","rummad","dibab","deiziad_degemer","niv"
,"Moulin Provost","Motrev",29152,"Kêriadenn","Meilh Provost",25/03/2013,2200
,"Lost an Ale","Motrev",29152,"Kêriadenn","Lost an Ale",08/03/2013,131992
,"Cateliner","Motrev",29152,"Kêriadenn","Kateliner",25/03/2013,2213
,"Motreff","Motrev",29152,"Kumun","Motrev","0000-00-00",6566
"Fontaine","Saint-Leuffroy","Motrev",29152,"Monumant","Feuteun Sant-Leri",29/01/2009,97117
,"Saint-Sauveur","Motrev",29152,"Kêriadenn","Sant-Salver",25/03/2013,2222
,"Kermangis","Motrev",29152,"Kêriadenn","Kermañjiz",07/02/2013,2209
,"Kerantigoff","Motrev",29152,"Kêriadenn","Kerantigov",25/03/2013,10183
,"Kergaravat","Motrev",29152,"Kêriadenn","Kergaravad",11/03/2013,2205
"La","Grande Ile","Motrev",29152,"Kêriadenn","An Enez Vras",08/03/2013,2173
,"Kerrouiller","Motrev",29152,"Kêriadenn","Kerouilher",25/03/2013,2210
,"Coat ar Zant","Motrev",29152,"Kêriadenn","Koad ar Sant",11/03/2013,2182
,"Saint-Pierre du Brugou","Motrev",29152,"Monumant","Sant Pêr ar Brugoù",29/01/2009,97100
,"Penkêr Riwal","Motrev",29152,"Kêriadenn","Penkêr Riwal",25/03/2013,131993
,"Ville-Neuve","Motrev",29152,"Kêriadenn","Kernevez",11/03/2013,2202
,"Créhenquer","Motrev",29152,"Kêriadenn","Krec'hanken",25/03/2013,10182
"Chapelle","Sainte-Brigitte","Motrev",29152,"Monumant","Chapel Santez Brijid",25/03/2013,84794
,"Gwaremm Wenn","Motrev",29152,"Kêriadenn","Gwaremm Wenn",25/02/2013,131825
,"Kergorlay","Motrev",29152,"Kêriadenn","Kergorlae",25/03/2013,2206
"La Gare de","Motreff","Motrev",29152,"Kêriadenn","Gar Motrev",11/03/2013,131858
,"Liorz Margot","Motrev",29152,"Kêriadenn","Liorzh Margod",25/03/2013,2225
,"Ty Névez","Motrev",29152,"Kêriadenn","Ti Nevez",08/03/2013,2217
,"Kergaravat Vihan","Motrev",29152,"Kêriadenn","Kergaravad Vihan",11/03/2013,131823
"Dolmen de","Kervoulédic","Motrev",29152,"Monumant","Taol-vaen Kervoulidig",29/01/2009,97116
,"Restourhan","Motrev",29152,"Kêriadenn","Restourhant",25/03/2013,2197
,"Kerhuel","Motrev",29152,"Kêriadenn","Keruhel",06/02/2013,10185
"La","Haie Goff","Motrev",29152,"Kêriadenn","An Hae Gov",25/03/2013,2196
,"Treveller","Motrev",29152,"Kêriadenn","Treveler",18/06/2009,2188
,"Treveller Vian","Motrev",29152,"Kêriadenn","Treveler Vihan",25/03/2013,2189
,"Ty Coat","Motrev",29152,"Kêriadenn","Ti Koad",08/03/2013,131860
,"Kerlupet Vian","Motrev",29152,"Kêriadenn","Kerluped Vihan",25/03/2013,131434
,"Kernon","Motrev",29152,"Kêriadenn","Kernonn",11/03/2013,2186
,"Sterlen","Motrev",29152,"Kêriadenn","Sterlenn",21/01/2003,2171
,"Pont Prons","Motrev",29152,"Kêriadenn","Pont Provost",25/03/2013,2179
,"Keribin","Motrev",29152,"Kêriadenn","Keribin",08/03/2013,2207
,"Barnaou","Motrev",29152,"Kêriadenn","Barnaou",25/03/2013,2201
,"Saint-Leuffroy","Motrev",29152,"Kêriadenn","Sant-Leri",29/01/2009,2221
,"Saint Patern","Motrev",29152,"Monumant","Sant Patern",25/03/2013,131893
,"Croas an Dilen","Motrev",29152,"Kêriadenn","Kroaz an Delen",06/02/2013,2218
,"Ker Yvon","Motrev",29152,"Kêriadenn","Kêr Ivon",25/03/2013,131437
,"Port de Carhaix","Motrev",29152,"Kêriadenn","Pont ar Gergoad",08/11/1994,7226
"Le","Brugou","Motrev",29152,"Kêriadenn","Ar Brugoù",20/03/2006,2181
,"Glazennou","Motrev",29152,"Kêriadenn","Glazennoù",08/03/2013,131990
,"Kerret","Motrev",29152,"Kêriadenn","Kerred",25/03/2013,2172
"La","Garenne","Motrev",29152,"Kêriadenn","Ar Waremm",11/03/2013,2224
"Le lavoir du","Bourg","Motrev",29152,"Monumant","Stêr-gannañ ar vourc'h",29/01/2009,97101
,"Penkêr Bouluenn","Motrev",29152,"Kêriadenn","Penkêr Bouluenn",25/03/2013,131994
,"Leign Bozec","Motrev",29152,"Kêriadenn","Lein Bozeg",08/03/2013,10186
"Moulin de","Cateliner","Motrev",29152,"Kêriadenn","Meilh Kateliner",25/03/2013,131892
,"Moulin Neuf","Motrev",29152,"Kêriadenn","Ar Veilh Nevez",30/11/2000,6584
"Chapelle","Saint-Leuffroy","Motrev",29152,"Monumant","Chapel Sant-Leri",29/01/2009,98090
,"Saint-Comté","Motrev",29152,"Kêriadenn","Sant-Kontez",25/03/2013,2220
,"Penayeun","Motrev",29152,"Kêriadenn","Pennayeun",07/02/2013,2176
,"Kerbirien","Motrev",29152,"Kêriadenn","Kervirien",25/03/2013,2214
"Le","Vern","Motrev",29152,"Kêriadenn","Ar Vern",11/03/2013,2175
"La","Montagne","Motrev",29152,"Kêriadenn","Menez Motrev",21/01/2003,10187
,"Lannegenou","Motrev",29152,"Kêriadenn","Lannijennoù",25/03/2013,2185
,"Kerborgne","Motrev",29152,"Kêriadenn","Kerborn",08/03/2013,2203
"Le","Cosquer","Motrev",29152,"Kêriadenn","Ar Gozhkêr",11/03/2013,2187
"Etang du","Brugoù","Motrev",29152,"Dour","Lenn ar Brugoù",29/01/2009,98855
,"Pont Kuen","Motrev",29152,"Monumant","Pont Kuen",25/03/2013,131987
,"Mescouez","Motrev",29152,"Kêriadenn","Meskouez",11/03/2013,2223
"La","Haie Creiz","Motrev",29152,"Kêriadenn","An Hae Kreiz",25/03/2013,2195
,"Luzuverien","Motrev",29152,"Kêriadenn","Luzuverien",18/06/2009,2193
,"Trévourec","Motrev",29152,"Kêriadenn","Trevoureg",25/03/2013,2190
"Moulin de","Bronolo","Motrev",29152,"Kêriadenn","Meilh Bornolo",08/03/2013,2198
,"Kerlupet","Motrev",29152,"Kêriadenn","Kerluped",25/03/2013,2215
"La gare de","Port de Carhaix","Motrev",29152,"Monumant","Gar Pont ar Gergoad",11/03/2013,132003
"La","Butte du Cheval","Motrev",29152,"Kêriadenn","Lost Krec'henn ar Marc'h",25/03/2013,10180
,"Bronolo","Motrev",29152,"Kêriadenn","Bronolo",21/01/2003,2167
,"Maison Neuve","Motrev",29152,"Kêriadenn","An Tiri Nevez",25/03/2013,131436
,"Lescleden","Motrev",29152,"Kêriadenn","Leskledenn",08/03/2013,2192
,"Lescoat","Motrev",29152,"Kêriadenn","Leskoad",11/03/2013,2191
,"Kerléran","Motrev",29152,"Kêriadenn","Kerleran",07/02/2013,2208
,"Lannezval","Motrev",29152,"Kêriadenn","Lannezwal",29/01/2009,2194
,"Roz ar Garnoen","Motrev",29152,"Kêriadenn","Roz ar Garnoen",25/03/2013,2168
,"Pont Daoulas","Motrev",29152,"Kêriadenn","Pont Daoulaz",06/02/2013,2177
"Ecole des","Hirondelles","Motrev",29152,"Monumant","Skol ar Gwennili",23/05/2013,131822
,"Haut du Bourg","Motrev",29152,"Diseurt","Penn-nec'h ar Vourc'h",27/05/2010,113645
,"Ty Mahé","Motrev",29152,"Kêriadenn","Ti Mahe",25/03/2013,2216
,"Crehen Bolic","Motrev",29152,"Kêriadenn","Krec'henn Bolig",25/03/2013,10181
,"Kernaman","Motrev",29152,"Kêriadenn","Kernaman",25/03/2013,65718
,"Croas Kermangis","Motrev",29152,"Kêriadenn","Kroaz Kermañjiz",11/03/2013,2219
,"Stang ar Bacol","Ploneour-Lanwern",29174,"Kêriadenn","Stank ar Bakol",13/10/1999,2412
,"Penker","Ploneour-Lanwern",29174,"Kêriadenn","Penkêr",23/10/2007,92029
,"Trévilit","Ploneour-Lanwern",29174,"Kêriadenn","Trevilid",23/10/2007,66604
,"Kerseurec","Ploneour-Lanwern",29174,"Kêriadenn","Kerzeureg",23/10/2007,66510
,"Méloury Kerneizan","Ploneour-Lanwern",29174,"Kêriadenn","Melouri Kerneizan",23/10/2007,77976
,"Kergoulas","Ploneour-Lanwern",29174,"Kêriadenn","Kergoulaz",23/10/2007,66456
,"Kervilloc","Ploneour-Lanwern",29174,"Kêriadenn","Kervillog",23/10/2007,77926
,"Runevez","Ploneour-Lanwern",29174,"Kêriadenn","Ar Ru Nevez",23/10/2007,78007
,"Kerfoulard Vian","Ploneour-Lanwern",29174,"Kêriadenn","Kerfoular Vihan",23/10/2007,78082
