niv,deiziad_degemer,insee,kumun,stagadenn,lec_hanv,stumm_orin,rummad,stumm_dibab,deiziad_restr
2200,2013-03-25,29152,Motrev,,Moulin Provost,Moulin Provost,Kêriadenn,Meilh Provost,2016-02-08
131992,2013-03-08,29152,Motrev,,Lost an Ale,Lost an Ale,Kêriadenn,Lost an Ale,2016-02-08
2213,2013-03-25,29152,Motrev,,Cateliner,Cateliner,Kêriadenn,Kateliner,2016-02-08
6566,1970-01-01,29152,Motrev,,Motreff,Motreff,Kumun,Motrev,2016-02-08
97117,2009-01-29,29152,Motrev,Fontaine,Saint-Leuffroy,Fontaine Saint-Leuffroy,Monumant,Feuteun Sant-Leri,2016-02-08
2222,2013-03-25,29152,Motrev,,Saint-Sauveur,Saint-Sauveur,Kêriadenn,Sant-Salver,2016-02-08
2209,2013-02-07,29152,Motrev,,Kermangis,Kermangis,Kêriadenn,Kermañjiz,2016-02-08
10183,2013-03-25,29152,Motrev,,Kerantigoff,Kerantigoff,Kêriadenn,Kerantigov,2016-02-08
2205,2013-03-11,29152,Motrev,,Kergaravat,Kergaravat,Kêriadenn,Kergaravad,2016-02-08
2173,2013-03-08,29152,Motrev,La,Grande Ile,La Grande Ile,Kêriadenn,An Enez Vras,2016-02-08
2210,2013-03-25,29152,Motrev,,Kerrouiller,Kerrouiller,Kêriadenn,Kerouilher,2016-02-08
2182,2013-03-11,29152,Motrev,,Coat ar Zant,Coat ar Zant,Kêriadenn,Koad ar Sant,2016-02-08
97100,2009-01-29,29152,Motrev,,Saint-Pierre du Brugou,Saint-Pierre du Brugou,Monumant,Sant Pêr ar Brugoù,2016-02-08
131993,2013-03-25,29152,Motrev,,Penkêr Riwal,Penkêr Riwal,Kêriadenn,Penkêr Riwal,2016-02-08
2202,2013-03-11,29152,Motrev,,Ville-Neuve,Ville-Neuve,Kêriadenn,Kernevez,2016-02-08
10182,2013-03-25,29152,Motrev,,Créhenquer,Créhenquer,Kêriadenn,Krec'hanken,2016-02-08
84794,2013-03-25,29152,Motrev,Chapelle,Sainte-Brigitte,Chapelle Sainte-Brigitte,Monumant,Chapel Santez Brijid,2016-02-08
131825,2013-02-25,29152,Motrev,,Gwaremm Wenn,Gwaremm Wenn,Kêriadenn,Gwaremm Wenn,2016-02-08
2206,2013-03-25,29152,Motrev,,Kergorlay,Kergorlay,Kêriadenn,Kergorlae,2016-02-08
131858,2013-03-11,29152,Motrev,La Gare de,Motreff,La Gare de Motreff,Kêriadenn,Gar Motrev,2016-02-08
2225,2013-03-25,29152,Motrev,,Liorz Margot,Liorz Margot,Kêriadenn,Liorzh Margod,2016-02-08
2217,2013-03-08,29152,Motrev,,Ty Névez,Ty Névez,Kêriadenn,Ti Nevez,2016-02-08
131823,2013-03-11,29152,Motrev,,Kergaravat Vihan,Kergaravat Vihan,Kêriadenn,Kergaravad Vihan,2016-02-08
97116,2009-01-29,29152,Motrev,Dolmen de,Kervoulédic,Dolmen de Kervoulédic,Monumant,Taol-vaen Kervoulidig,2016-02-08
2197,2013-03-25,29152,Motrev,,Restourhan,Restourhan,Kêriadenn,Restourhant,2016-02-08
10185,2013-02-06,29152,Motrev,,Kerhuel,Kerhuel,Kêriadenn,Keruhel,2016-02-08
2196,2013-03-25,29152,Motrev,La,Haie Goff,La Haie Goff,Kêriadenn,An Hae Gov,2016-02-08
2188,2009-06-18,29152,Motrev,,Treveller,Treveller,Kêriadenn,Treveler,2016-02-08
2189,2013-03-25,29152,Motrev,,Treveller Vian,Treveller Vian,Kêriadenn,Treveler Vihan,2016-02-08
131860,2013-03-08,29152,Motrev,,Ty Coat,Ty Coat,Kêriadenn,Ti Koad,2016-02-08
131434,2013-03-25,29152,Motrev,,Kerlupet Vian,Kerlupet Vian,Kêriadenn,Kerluped Vihan,2016-02-08
2186,2013-03-11,29152,Motrev,,Kernon,Kernon,Kêriadenn,Kernonn,2016-02-08
2171,2003-01-21,29152,Motrev,,Sterlen,Sterlen,Kêriadenn,Sterlenn,2016-02-08
2179,2013-03-25,29152,Motrev,,Pont Prons,Pont Prons,Kêriadenn,Pont Provost,2016-02-08
2207,2013-03-08,29152,Motrev,,Keribin,Keribin,Kêriadenn,Keribin,2016-02-08
2201,2013-03-25,29152,Motrev,,Barnaou,Barnaou,Kêriadenn,Barnaou,2016-02-08
