code_insee,nb
29232,1279
35047,828
35238,791
29024,594
29027,374
29075,337
29019,279
29124,174
22094,157
29212,151
29261,150
29197,142
29102,129
56178,127
29069,114
29169,101
29170,97
29177,96
22050,92
35281,89
35093,88
29040,84
29171,75
56162,74
29151,65
22113,65
22031,63
29011,61
29020,60
29175,55
29173,53
29254,52
29178,51
22209,51
29066,49
29046,49
29103,48
22004,47
22266,46
35236,43
35256,40
29162,38
29292,36
56260,35
29235,35
35055,33
29205,32
22202,32
29229,31
29108,30
22214,29
29227,27
29038,27
29055,26
35287,25
29057,25
29029,24
29198,23
29191,23
29106,23
29139,22
22379,22
22164,22
29167,21
29058,21
22339,21
29277,20
29274,20
35051,19
29145,19
29060,19
29028,19
29298,18
29247,18
22162,17
35126,16
29165,16
29143,16
29078,16
22354,16
35206,15
22192,15
35228,14
29207,14
29131,14
29042,14
22344,14
22157,14
29089,13
22351,13
56097,12
29202,12
29161,12
29036,12
29026,12
29007,12
22337,12
22198,12
56220,11
29201,11
29159,11
29065,11
22070,11
29275,10
29272,10
29266,10
29228,10
29211,10
29158,10
29155,10
29043,10
22190,10
35240,9
29176,9
29123,9
29080,9
29045,9
29025,9
56023,8
56004,8
29225,8
29140,8
29062,8
22163,8
22046,8
56240,7
56007,7
35278,7
35241,7
35001,7
29199,7
29160,7
29150,7
29134,7
29070,7
29044,7
22322,7
22166,7
22118,7
22078,7
56205,6
56170,6
56121,6
35221,6
29215,6
29188,6
29129,6
29122,6
29109,6
29054,6
29052,6
29041,6
22302,6
22280,6
22197,6
22128,6
22034,6
56182,5
56176,5
56105,5
35283,5
35207,5
35176,5
35139,5
29302,5
29296,5
29284,5
29243,5
29240,5
29237,5
29190,5
29130,5
29081,5
22324,5
22291,5
22289,5
22282,5
22250,5
22220,5
22210,5
22204,5
22061,5
56243,4
56152,4
56140,4
56083,4
35358,4
35300,4
35181,4
35177,4
35145,4
35123,4
35076,4
35068,4
29280,4
29270,4
29265,4
29230,4
29221,4
29204,4
29179,4
29147,4
29125,4
29097,4
29049,4
29034,4
29022,4
29001,4
22375,4
22349,4
22335,4
22294,4
22211,4
22189,4
22172,4
22161,4
22139,4
22134,4
22109,4
22092,4
22074,4
56246,3
56234,3
56209,3
56199,3
56185,3
56179,3
56172,3
56151,3
56148,3
56144,3
56131,3
56098,3
56094,3
56087,3
56081,3
56046,3
56034,3
35355,3
35327,3
35314,3
35294,3
35293,3
35284,3
35264,3
35252,3
35229,3
35222,3
35196,3
35173,3
35150,3
35129,3
35108,3
35070,3
35009,3
29291,3
29286,3
29285,3
29282,3
29264,3
29263,3
29241,3
29209,3
29206,3
29193,3
29192,3
29184,3
29166,3
29149,3
29141,3
29120,3
29111,3
29110,3
29095,3
29083,3
29076,3
29053,3
29048,3
29033,3
29018,3
29012,3
29006,3
22387,3
22385,3
22383,3
22373,3
22365,3
22363,3
22358,3
22357,3
22328,3
22327,3
22310,3
22299,3
22290,3
22279,3
22278,3
22276,3
22269,3
22264,3
22259,3
22254,3
22251,3
22247,3
22225,3
22223,3
22221,3
22218,3
22217,3
22215,3
22213,3
22207,3
22196,3
22194,3
22183,3
22176,3
22169,3
22152,3
22149,3
22126,3
22110,3
22103,3
22101,3
22099,3
22093,3
22087,3
22084,3
22079,3
22052,3
22041,3
22030,3
22028,3
22018,3
22011,3
56264,2
56263,2
56262,2
56261,2
56259,2
56258,2
56252,2
56250,2
56248,2
56244,2
56241,2
56239,2
56238,2
56237,2
56236,2
56233,2
56231,2
56226,2
56225,2
56222,2
56218,2
56215,2
56214,2
56213,2
56210,2
56207,2
56204,2
56203,2
56201,2
56200,2
56198,2
56197,2
56196,2
56195,2
56194,2
56193,2
56190,2
56189,2
56188,2
56186,2
56184,2
56183,2
56177,2
56171,2
56167,2
56160,2
56158,2
56156,2
56154,2
56153,2
56149,2
56147,2
56146,2
56145,2
56143,2
56142,2
56141,2
56132,2
56130,2
56127,2
56125,2
56117,2
56116,2
56115,2
56114,2
56113,2
56112,2
56110,2
56109,2
56108,2
56106,2
56104,2
56103,2
56102,2
56101,2
56099,2
56092,2
56088,2
56084,2
56077,2
56075,2
56072,2
56068,2
56067,2
56066,2
56063,2
56062,2
56061,2
56053,2
56052,2
56051,2
56050,2
56049,2
56048,2
56047,2
56043,2
56042,2
56041,2
56040,2
56039,2
56036,2
56033,2
56029,2
56027,2
56025,2
56024,2
56022,2
56021,2
56018,2
56016,2
56015,2
56013,2
56011,2
56010,2
56009,2
56008,2
56003,2
56001,2
35362,2
35361,2
35359,2
35343,2
35339,2
35338,2
